Arizona,Cardinals,1,Red,Black
Atlanta,Falcons,2,Red,Black
Buffalo,Bills,4,Red,Blue
Carolina,Panthers,5,Black,Blue
Chicago,Bears,6,Blue,Orange
Cincinnati,Bengals,7,Black,Orange
Cleveland,Browns,8,Brown,Orange
Dallas,Cowboys,9,Blue,White
Detroit,Lions,11,Blue,Silver
GreenBay,Packers,12,Green,Yellow
Houston,Texans,13,Red,White
Indianapolis,Colts,14,Blue,Gray
KansasCity,Chiefs,16,Red,Gold
LasVegas,Raiders,17,Black,Silver
LosAngeles,Chargers,18,Blue,Yellow
LosAngeles,Rams,19,Blue,Gold
NewEngland,Patriots,22,Red,Blue
NewOrleans,Saints,23,Black,Gold
NewYork,Giants,24,Red,Blue
NewYork,Jets,25,Green,White
Philadelphia,Eagles,26,Green,Black
Pittsburgh,Steelers,27,Black,Gold
Seattle,Seahawks,29,Green,Blue
TampaBay,Buccaneers,30,Black,Red
Tennessee,Titans,31,Blue,Red
Washington,Commanders,32,Red,Gold
SanFrancisco,49ers,28,Red,Gold
Denver,Broncos,10,Red,Orange
Miami,Dolphins,20,Blue,Orange
Jacksonville,Jaguars,15,Cyan,Gold
Baltimore,Ravens,3,Magenta,Black
Minnesota,Vikings,21,Magenta,Gold
